epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.534,0.51603,0.78424,0.71476,0.91226,0.9589,0.73716,0.76998,0.71057,0.93393,0.72777,0.75193,0.62803,0.43793,1.47525,0.50414,0.85318,0.0667841,9.99475e-05,9.99475e-05
2,982.313,0.45149,0.61143,0.46246,0.8878,0.95449,0.75356,0.77925,0.73944,0.9569,0.75282,0.77818,0.70353,0.33849,0.56482,0.33833,0.8166,0.0335482,0.000197308,0.000197308
3,1458.61,0.42355,0.55424,0.40497,0.8795,0.96347,0.76689,0.78402,0.74924,0.96354,0.76705,0.78418,0.71144,0.31593,0.46863,0.2759,0.80715,0.000309545,0.000292029,0.000292029
4,1875.11,0.40647,0.53776,0.37935,0.87598,0.96943,0.77119,0.78564,0.75876,0.96921,0.77066,0.78477,0.71747,0.28996,0.44694,0.26049,0.8019,0.00028812,0.00028812,0.00028812
5,2285.61,0.39592,0.51821,0.35759,0.87362,0.97245,0.77168,0.78615,0.75964,0.9718,0.77169,0.78588,0.71682,0.27659,0.42382,0.24057,0.7968,0.00028416,0.00028416,0.00028416
6,2698.99,0.38543,0.50762,0.34272,0.87065,0.96109,0.77447,0.78735,0.76195,0.9616,0.77423,0.78698,0.72504,0.2716,0.41446,0.2275,0.79423,0.0002802,0.0002802,0.0002802
7,3114.5,0.37648,0.48998,0.33165,0.86712,0.97801,0.77383,0.78937,0.76448,0.9774,0.77389,0.78935,0.72514,0.26772,0.39989,0.22245,0.79338,0.00027624,0.00027624,0.00027624
8,3533.45,0.37003,0.48182,0.3228,0.86579,0.97508,0.77729,0.78994,0.76744,0.97434,0.777,0.78969,0.72741,0.25583,0.38801,0.20367,0.78969,0.00027228,0.00027228,0.00027228
9,3946.15,0.36769,0.48575,0.31889,0.86516,0.97686,0.77661,0.78862,0.76474,0.97643,0.77683,0.78896,0.72156,0.25309,0.38313,0.20062,0.7874,0.00026832,0.00026832,0.00026832
10,4358.43,0.35914,0.46843,0.30637,0.86169,0.97749,0.77826,0.78891,0.76988,0.9769,0.77803,0.78883,0.72818,0.24383,0.37295,0.19474,0.78491,0.00026436,0.00026436,0.00026436
