epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.524,0.39288,0.89227,0.36149,0.8767,0.97287,0.77231,0.78803,0.75964,0.97176,0.77182,0.78694,0.6877,0.29967,0.85802,0.2323,0.79155,0.0667841,9.99475e-05,9.99475e-05
2,1074.65,0.37412,0.82564,0.32022,0.8705,0.97728,0.77729,0.78867,0.76753,0.9755,0.77711,0.78745,0.70088,0.25495,0.70508,0.19892,0.78004,0.0335482,0.000197308,0.000197308
3,1603.74,0.36855,0.80814,0.31375,0.86796,0.97878,0.77631,0.79049,0.76748,0.98126,0.77553,0.78934,0.69117,0.26593,0.76617,0.1996,0.78467,0.000309545,0.000292029,0.000292029
4,2095.68,0.36814,0.80607,0.31274,0.87047,0.9809,0.77739,0.78735,0.76593,0.98045,0.77722,0.78654,0.69398,0.25769,0.7427,0.19836,0.78395,0.00028812,0.00028812,0.00028812
5,2554.87,0.36536,0.80036,0.31002,0.87059,0.97844,0.77827,0.79003,0.76914,0.97896,0.77764,0.78939,0.69707,0.25183,0.76232,0.19098,0.78173,0.00028416,0.00028416,0.00028416
6,3010.9,0.365,0.80126,0.30766,0.86884,0.98112,0.77786,0.79038,0.76955,0.9812,0.7774,0.7897,0.6981,0.24695,0.70632,0.18654,0.78244,0.0002802,0.0002802,0.0002802
7,3468.65,0.36133,0.78857,0.30584,0.86763,0.97876,0.77788,0.78949,0.76784,0.97502,0.77833,0.78839,0.69352,0.24518,0.76582,0.1832,0.77933,0.00027624,0.00027624,0.00027624
8,3930.96,0.35639,0.78267,0.29917,0.86814,0.98012,0.77984,0.79032,0.77058,0.97935,0.77937,0.78866,0.69868,0.24167,0.72959,0.18344,0.77876,0.00027228,0.00027228,0.00027228
9,4384.92,0.36009,0.79715,0.30131,0.86864,0.97906,0.77978,0.7907,0.77103,0.97976,0.77943,0.78962,0.69821,0.24202,0.73232,0.1777,0.77948,0.00026832,0.00026832,0.00026832
10,4838.89,0.3542,0.78394,0.29352,0.86472,0.98376,0.77863,0.78949,0.77055,0.98367,0.77863,0.78899,0.69927,0.23618,0.72021,0.17347,0.77745,0.00026436,0.00026436,0.00026436
11,5290.34,0.35373,0.78337,0.29406,0.86465,0.97787,0.78012,0.79048,0.77209,0.98565,0.77827,0.78983,0.69999,0.23604,0.74141,0.1713,0.77641,0.0002604,0.0002604,0.0002604
12,5746.35,0.35253,0.78426,0.29135,0.86467,0.98286,0.77946,0.79096,0.77275,0.98214,0.77912,0.79043,0.69964,0.23067,0.7422,0.16926,0.77609,0.00025644,0.00025644,0.00025644
13,6204.94,0.34674,0.77489,0.28747,0.86219,0.98126,0.78003,0.79092,0.77262,0.98035,0.77949,0.78999,0.70071,0.23327,0.73201,0.16629,0.77552,0.00025248,0.00025248,0.00025248
14,6661.6,0.348,0.77202,0.28561,0.86287,0.98132,0.77983,0.79129,0.77378,0.98451,0.77891,0.79041,0.70089,0.23038,0.71685,0.16781,0.77561,0.00024852,0.00024852,0.00024852
15,7115.33,0.3499,0.77495,0.28833,0.86403,0.98501,0.78022,0.79062,0.7736,0.98617,0.77983,0.79011,0.69695,0.22532,0.7417,0.1625,0.77453,0.00024456,0.00024456,0.00024456
16,7570.96,0.34697,0.77097,0.28554,0.86263,0.98609,0.77953,0.79122,0.77467,0.98386,0.77995,0.79076,0.69991,0.22367,0.72745,0.15867,0.77328,0.0002406,0.0002406,0.0002406
17,8023.19,0.34425,0.77136,0.28201,0.86138,0.98476,0.7807,0.79174,0.77537,0.98618,0.78026,0.79114,0.69999,0.22579,0.72419,0.1589,0.77445,0.00023664,0.00023664,0.00023664
18,8478.62,0.34378,0.77013,0.28275,0.86204,0.98592,0.7803,0.79219,0.7763,0.98626,0.77972,0.79179,0.69964,0.22031,0.74125,0.15372,0.77271,0.00023268,0.00023268,0.00023268
19,8935.23,0.3408,0.76773,0.27797,0.86141,0.98751,0.78002,0.79194,0.77561,0.98851,0.77978,0.79135,0.70086,0.22073,0.72529,0.15365,0.77217,0.00022872,0.00022872,0.00022872
20,9391.53,0.33614,0.75702,0.27219,0.85893,0.98692,0.78055,0.79228,0.77601,0.9863,0.78013,0.79174,0.70226,0.2197,0.72482,0.15261,0.77148,0.00022476,0.00022476,0.00022476
21,9850.04,0.34167,0.76563,0.2782,0.86093,0.98239,0.78042,0.7918,0.77667,0.98722,0.77949,0.79152,0.70181,0.21796,0.71824,0.1514,0.7706,0.0002208,0.0002208,0.0002208
22,10302.7,0.3386,0.76739,0.2744,0.85828,0.9815,0.78132,0.79191,0.77676,0.98835,0.77972,0.79174,0.69963,0.21656,0.73207,0.14843,0.77064,0.00021684,0.00021684,0.00021684
23,10760.2,0.33689,0.76288,0.27025,0.86,0.98309,0.78151,0.79231,0.77752,0.98869,0.77974,0.79175,0.70057,0.21548,0.73554,0.14672,0.76989,0.00021288,0.00021288,0.00021288
24,41664.4,0.33428,0.74986,0.27141,0.85874,0.98373,0.781,0.79273,0.77787,0.98594,0.78041,0.79201,0.70062,0.21455,0.73203,0.14671,0.76961,0.00020892,0.00020892,0.00020892
25,42390.9,0.33389,0.75348,0.26881,0.85769,0.98264,0.78132,0.79243,0.77778,0.98219,0.78111,0.79186,0.70018,0.21381,0.73006,0.14583,0.76944,0.00020496,0.00020496,0.00020496
26,42979.3,0.33171,0.75253,0.26635,0.85687,0.98315,0.78105,0.79282,0.77819,0.98431,0.7806,0.79207,0.69979,0.21455,0.73191,0.14653,0.76958,0.000201,0.000201,0.000201
27,43602.1,0.33413,0.75365,0.26903,0.85886,0.9857,0.78097,0.79303,0.77797,0.98598,0.78058,0.7922,0.70009,0.214,0.73177,0.14533,0.76962,0.00019704,0.00019704,0.00019704
28,44196.7,0.32893,0.7506,0.26471,0.85768,0.98501,0.78111,0.793,0.77802,0.98595,0.78069,0.79227,0.70074,0.21314,0.73086,0.14388,0.76912,0.00019308,0.00019308,0.00019308
29,44725.1,0.32684,0.7479,0.26071,0.8585,0.98597,0.78099,0.79288,0.77836,0.98794,0.7803,0.79201,0.70059,0.21191,0.73146,0.14303,0.7689,0.00018912,0.00018912,0.00018912
30,46057.8,0.33012,0.75036,0.26393,0.85483,0.98625,0.78109,0.79278,0.77836,0.98605,0.7809,0.79209,0.70057,0.21114,0.73145,0.14269,0.76859,0.00018516,0.00018516,0.00018516
31,46534.6,0.32813,0.74394,0.26256,0.85735,0.98675,0.78105,0.79272,0.77885,0.98665,0.78099,0.79217,0.70073,0.21052,0.73098,0.14216,0.76826,0.0001812,0.0001812,0.0001812
32,47025.8,0.32465,0.74805,0.25858,0.85554,0.98702,0.78105,0.79257,0.77858,0.98658,0.78088,0.7921,0.70065,0.20989,0.73028,0.1413,0.76813,0.00017724,0.00017724,0.00017724
33,47483.4,0.32524,0.741,0.25745,0.8541,0.98654,0.78105,0.79259,0.77868,0.98716,0.78082,0.79203,0.70049,0.20942,0.73069,0.14109,0.76797,0.00017328,0.00017328,0.00017328
34,47931.5,0.32327,0.73605,0.25538,0.85631,0.98836,0.78093,0.79278,0.77866,0.98776,0.7807,0.79192,0.7006,0.20904,0.73019,0.1409,0.76776,0.00016932,0.00016932,0.00016932
35,48398.2,0.31991,0.73409,0.25377,0.85374,0.98872,0.78095,0.79276,0.77881,0.98812,0.78067,0.79214,0.70058,0.20867,0.73109,0.14045,0.76765,0.00016536,0.00016536,0.00016536
36,48863.7,0.32197,0.74456,0.25361,0.85557,0.98887,0.78085,0.79289,0.77897,0.98828,0.78062,0.79228,0.70076,0.20837,0.73142,0.14003,0.76757,0.0001614,0.0001614,0.0001614
37,49327.5,0.32093,0.7351,0.25239,0.85421,0.98882,0.78085,0.7929,0.77899,0.98873,0.78055,0.7922,0.7007,0.20804,0.7306,0.13996,0.76743,0.00015744,0.00015744,0.00015744
38,49776.4,0.31906,0.734,0.25068,0.85324,0.98928,0.78066,0.79277,0.77905,0.98868,0.78042,0.7922,0.70089,0.2078,0.73166,0.13966,0.76728,0.00015348,0.00015348,0.00015348
39,50228.4,0.31546,0.728,0.24855,0.85367,0.98912,0.78065,0.79282,0.77913,0.98904,0.78042,0.79225,0.70072,0.20743,0.73236,0.13913,0.76717,0.00014952,0.00014952,0.00014952
40,50695.4,0.31496,0.72806,0.24784,0.85223,0.98938,0.7807,0.79284,0.77915,0.98906,0.78047,0.79221,0.70082,0.20711,0.73282,0.13911,0.7671,0.00014556,0.00014556,0.00014556
41,51171.1,0.31498,0.73208,0.24753,0.85312,0.98952,0.7807,0.79285,0.77895,0.98915,0.78047,0.79222,0.70093,0.2069,0.73218,0.13881,0.76699,0.0001416,0.0001416,0.0001416
42,51708.2,0.31233,0.72874,0.24436,0.8505,0.98952,0.7807,0.79297,0.77925,0.98921,0.78053,0.79221,0.70073,0.20673,0.73215,0.13848,0.76694,0.00013764,0.00013764,0.00013764
