epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.855,0.48827,0.72183,1.24608,0.90487,0.97774,0.75813,0.77163,0.72695,0.97775,0.75829,0.77192,0.68744,0.34504,0.50578,0.48477,0.8203,0.00333158,0.00333158,0.00333158
2,951.722,0.49851,0.61455,0.63499,0.89535,0.92857,0.75859,0.76982,0.71607,0.92905,0.7587,0.76984,0.6906,0.38608,0.55863,0.40871,0.83596,0.00659893,0.00659893,0.00659893
3,1404.14,0.53692,0.66051,0.55807,0.91159,0.94562,0.75139,0.76779,0.71192,0.94777,0.75133,0.76749,0.67953,0.42169,0.61491,0.40788,0.86108,0.00980028,0.00980028,0.00980028
4,1853.03,0.53828,0.68611,0.52091,0.91772,0.98122,0.7385,0.77375,0.72981,0.98246,0.73879,0.77413,0.69901,0.38951,0.56747,0.45801,0.84922,0.009703,0.009703,0.009703
5,2298.15,0.49183,0.63109,0.45468,0.90541,0.95797,0.76495,0.77928,0.74033,0.96435,0.76414,0.77984,0.70517,0.34021,0.50083,0.30322,0.82644,0.009604,0.009604,0.009604
6,2741.98,0.46402,0.59299,0.42019,0.89496,0.96166,0.7681,0.78162,0.74586,0.96195,0.76826,0.78107,0.70419,0.31418,0.48113,0.28784,0.81227,0.009505,0.009505,0.009505
7,3195.15,0.4426,0.56395,0.39295,0.88828,0.97141,0.77125,0.78423,0.75033,0.96998,0.77078,0.78357,0.71068,0.30277,0.45244,0.26226,0.80996,0.009406,0.009406,0.009406
8,3646.12,0.42632,0.54641,0.374,0.88281,0.97195,0.77244,0.78478,0.75521,0.9744,0.77128,0.78416,0.71759,0.29236,0.43921,0.25159,0.80439,0.009307,0.009307,0.009307
9,4071.2,0.41909,0.543,0.36548,0.88034,0.96464,0.77435,0.78571,0.7591,0.96605,0.77394,0.7851,0.71907,0.27631,0.42325,0.23837,0.79851,0.009208,0.009208,0.009208
10,4494.02,0.40477,0.52148,0.34956,0.87569,0.97708,0.77366,0.7864,0.76217,0.97662,0.77349,0.78576,0.72195,0.26638,0.41544,0.22545,0.7946,0.009109,0.009109,0.009109
11,4916.23,0.40028,0.51517,0.34376,0.87376,0.97994,0.77406,0.78721,0.76408,0.97993,0.77395,0.78633,0.72177,0.25815,0.40883,0.2126,0.79167,0.00901,0.00901,0.00901
12,5340.14,0.39415,0.50352,0.33635,0.8714,0.97722,0.77557,0.78817,0.7651,0.97783,0.77534,0.78773,0.72274,0.25182,0.39538,0.2078,0.78987,0.008911,0.008911,0.008911
13,5759.41,0.38623,0.4952,0.32811,0.86948,0.9752,0.77712,0.78952,0.76747,0.97644,0.77652,0.78916,0.7256,0.24644,0.38504,0.19972,0.78688,0.008812,0.008812,0.008812
14,6189,0.38118,0.48702,0.32187,0.86704,0.98033,0.77701,0.79014,0.76882,0.97994,0.77671,0.78928,0.72509,0.24234,0.38591,0.19448,0.78575,0.008713,0.008713,0.008713
15,6623.73,0.37842,0.48319,0.31693,0.86592,0.98186,0.77746,0.79061,0.77077,0.98153,0.77735,0.79058,0.72591,0.23772,0.38123,0.19065,0.78295,0.008614,0.008614,0.008614
16,7052.14,0.3742,0.47873,0.31288,0.86476,0.97616,0.77881,0.79076,0.77091,0.9822,0.77707,0.79014,0.72752,0.23326,0.37729,0.18564,0.78206,0.008515,0.008515,0.008515
17,7506.82,0.36785,0.47381,0.30882,0.86333,0.98245,0.77885,0.79101,0.77098,0.9817,0.77856,0.79063,0.726,0.23381,0.37504,0.1819,0.78155,0.008416,0.008416,0.008416
18,7959.4,0.3685,0.46695,0.30677,0.86357,0.98452,0.77822,0.79226,0.77275,0.98375,0.77799,0.79136,0.72872,0.22722,0.37199,0.17861,0.78046,0.008317,0.008317,0.008317
19,8412.56,0.36401,0.46631,0.3017,0.86193,0.97927,0.77926,0.79297,0.77407,0.97868,0.77903,0.7923,0.72854,0.22547,0.36315,0.174,0.77865,0.008218,0.008218,0.008218
20,8833.84,0.35943,0.45275,0.29663,0.85919,0.98106,0.77975,0.79289,0.77393,0.98018,0.77941,0.79263,0.73038,0.22237,0.36276,0.17026,0.77792,0.008119,0.008119,0.008119
21,9229.12,0.35853,0.45506,0.29421,0.85995,0.98298,0.7794,0.7929,0.77417,0.98269,0.77928,0.79261,0.72937,0.22157,0.36089,0.16867,0.77764,0.00802,0.00802,0.00802
22,9623.59,0.35784,0.45559,0.2936,0.85725,0.97694,0.7803,0.79213,0.77421,0.98343,0.77895,0.79181,0.72922,0.21955,0.35881,0.16757,0.77715,0.007921,0.007921,0.007921
23,10016,0.354,0.45083,0.28971,0.85895,0.98208,0.78023,0.79251,0.77508,0.98169,0.77981,0.79255,0.72928,0.21828,0.35429,0.16435,0.77676,0.007822,0.007822,0.007822
24,10407.2,0.35132,0.43968,0.2891,0.85684,0.98585,0.78015,0.79283,0.77554,0.98589,0.77979,0.79259,0.72941,0.21632,0.35068,0.16466,0.77571,0.007723,0.007723,0.007723
25,10799.8,0.35058,0.43933,0.2859,0.85751,0.98488,0.77995,0.79346,0.7763,0.98398,0.7796,0.79327,0.72982,0.21481,0.35049,0.16333,0.77549,0.007624,0.007624,0.007624
26,11192,0.34566,0.43888,0.28144,0.85409,0.98196,0.78068,0.79393,0.7768,0.98122,0.78039,0.79377,0.73101,0.21293,0.34753,0.1605,0.77494,0.007525,0.007525,0.007525
27,11583.8,0.34984,0.44094,0.2843,0.85715,0.97969,0.78089,0.79352,0.77674,0.97894,0.7805,0.79361,0.73087,0.21215,0.34718,0.16006,0.77451,0.007426,0.007426,0.007426
28,11976.3,0.344,0.43774,0.27927,0.85449,0.98812,0.77926,0.79344,0.77699,0.98753,0.77902,0.79323,0.7311,0.21089,0.34627,0.15962,0.77415,0.007327,0.007327,0.007327
29,12369.3,0.34143,0.43035,0.27461,0.85457,0.98672,0.77983,0.79341,0.77674,0.98595,0.77954,0.79332,0.73122,0.21004,0.34529,0.15843,0.77378,0.007228,0.007228,0.007228
30,12762.4,0.34186,0.43242,0.27739,0.85493,0.98228,0.7807,0.7935,0.7772,0.98141,0.78035,0.7934,0.73133,0.20942,0.34352,0.15744,0.77362,0.007129,0.007129,0.007129
31,13153.1,0.34024,0.42944,0.27527,0.85415,0.98134,0.78117,0.79332,0.77722,0.98097,0.78064,0.79324,0.73117,0.20809,0.34219,0.15663,0.77305,0.00703,0.00703,0.00703
32,13544.2,0.33882,0.43312,0.27179,0.85256,0.98155,0.78117,0.79327,0.7772,0.98283,0.78031,0.79317,0.7314,0.20739,0.34066,0.1559,0.77274,0.006931,0.006931,0.006931
33,13935.2,0.33537,0.42053,0.26913,0.85287,0.98269,0.78099,0.79334,0.77726,0.98438,0.78018,0.79334,0.73199,0.20664,0.33966,0.15497,0.77244,0.006832,0.006832,0.006832
