epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.792,0.43135,0.64387,0.63959,0.89662,0.96151,0.76845,0.78518,0.74922,0.96476,0.76791,0.78592,0.72064,0.32022,0.45648,0.28667,0.80812,0.00333158,0.00333158,0.00333158
2,1282.34,0.45451,0.54298,0.42159,0.88851,0.96418,0.76093,0.77944,0.7352,0.96406,0.76076,0.77874,0.69605,0.35281,0.51493,0.34991,0.82686,0.00659893,0.00659893,0.00659893
3,1896.39,0.50655,0.60758,0.47492,0.90702,0.93545,0.76165,0.77332,0.72356,0.93631,0.76155,0.77334,0.69021,0.40817,0.58064,0.37177,0.85429,0.00980028,0.00980028,0.00980028
4,2509.49,0.51431,0.64672,0.47854,0.91163,0.96393,0.7651,0.78148,0.74234,0.9652,0.76455,0.78112,0.70611,0.34048,0.50862,0.30392,0.82523,0.009703,0.009703,0.009703
5,3107.47,0.46818,0.58897,0.42294,0.89894,0.95437,0.76905,0.78,0.74564,0.95634,0.76892,0.78089,0.7125,0.31093,0.46945,0.28481,0.81054,0.009604,0.009604,0.009604
6,3730.1,0.43847,0.55321,0.39036,0.88722,0.97364,0.771,0.78434,0.75328,0.97329,0.77117,0.78364,0.71004,0.29655,0.4603,0.25843,0.80367,0.009505,0.009505,0.009505
7,4363.63,0.4168,0.52174,0.36608,0.8805,0.97336,0.77236,0.78763,0.75995,0.97322,0.77205,0.78732,0.71915,0.27172,0.42481,0.23169,0.7979,0.009406,0.009406,0.009406
8,5009.81,0.39979,0.50211,0.34561,0.87573,0.96742,0.77664,0.78669,0.76151,0.96687,0.77644,0.78622,0.72166,0.27169,0.40967,0.22527,0.79715,0.009307,0.009307,0.009307
9,5642.19,0.39254,0.49668,0.33905,0.87278,0.97466,0.77505,0.78808,0.7635,0.97406,0.77481,0.78799,0.71908,0.25655,0.40028,0.21021,0.79255,0.009208,0.009208,0.009208
10,6265.68,0.37786,0.47521,0.32406,0.86735,0.96925,0.77857,0.78824,0.76583,0.96811,0.77811,0.78738,0.72276,0.24796,0.3901,0.20312,0.78775,0.009109,0.009109,0.009109
11,6879.03,0.37359,0.46707,0.31718,0.86597,0.97466,0.77857,0.79014,0.77004,0.97437,0.77845,0.79014,0.72651,0.23988,0.38393,0.1942,0.78589,0.00901,0.00901,0.00901
12,7491.89,0.36827,0.45976,0.31118,0.86391,0.97715,0.77851,0.79057,0.77099,0.97639,0.77822,0.7899,0.72681,0.23457,0.36899,0.1898,0.7846,0.008911,0.008911,0.008911
13,8108.73,0.35951,0.44941,0.30199,0.86186,0.98052,0.77984,0.79195,0.77285,0.97923,0.77926,0.79138,0.72991,0.23024,0.36476,0.17809,0.78251,0.008812,0.008812,0.008812
14,8717.77,0.35396,0.44457,0.29599,0.85918,0.97751,0.77961,0.79359,0.7745,0.9767,0.77967,0.79259,0.73196,0.22591,0.35896,0.17841,0.78128,0.008713,0.008713,0.008713
15,9324.19,0.35217,0.43671,0.29225,0.85884,0.98346,0.77914,0.79376,0.77589,0.983,0.77891,0.79371,0.73094,0.22141,0.35519,0.1716,0.77925,0.008614,0.008614,0.008614
16,9909.2,0.3473,0.43059,0.28964,0.85793,0.98181,0.78018,0.7926,0.77533,0.98187,0.77989,0.79213,0.73117,0.21839,0.35124,0.16905,0.77857,0.008515,0.008515,0.008515
17,10481.9,0.3425,0.42689,0.28357,0.85581,0.97971,0.78042,0.79478,0.77731,0.98063,0.78013,0.79459,0.73299,0.21568,0.34562,0.16526,0.77587,0.008416,0.008416,0.008416
18,11055.4,0.34149,0.42214,0.28139,0.85575,0.98407,0.78042,0.79411,0.77733,0.98348,0.78018,0.79435,0.73305,0.21207,0.33979,0.16113,0.77506,0.008317,0.008317,0.008317
19,11625.7,0.33569,0.41838,0.27502,0.85395,0.98674,0.7798,0.79407,0.77766,0.98689,0.77985,0.79381,0.73173,0.21031,0.33773,0.1573,0.77513,0.008218,0.008218,0.008218
20,12198,0.33284,0.40762,0.27218,0.85181,0.98118,0.78134,0.79448,0.77827,0.98529,0.78024,0.79442,0.73313,0.20667,0.33607,0.15371,0.77363,0.008119,0.008119,0.008119
21,12768.5,0.33144,0.40974,0.2709,0.85202,0.9841,0.7809,0.79509,0.77893,0.98336,0.78059,0.79504,0.73269,0.20658,0.33408,0.15178,0.77348,0.00802,0.00802,0.00802
22,13341.9,0.33036,0.40934,0.26859,0.84936,0.9831,0.78148,0.79448,0.77833,0.98282,0.78117,0.79445,0.73204,0.20511,0.33118,0.1506,0.77273,0.007921,0.007921,0.007921
23,13916.8,0.32662,0.40555,0.26672,0.85063,0.98415,0.78171,0.79478,0.77937,0.9844,0.78133,0.79509,0.7333,0.20376,0.32926,0.14947,0.77197,0.007822,0.007822,0.007822
24,14475.5,0.32404,0.39558,0.26356,0.84871,0.98702,0.78145,0.79561,0.78003,0.98635,0.78117,0.79558,0.73388,0.2017,0.32606,0.1487,0.77047,0.007723,0.007723,0.007723
25,15022.9,0.32308,0.39308,0.26145,0.84941,0.98431,0.78131,0.79592,0.78126,0.98402,0.78123,0.79581,0.73473,0.19948,0.324,0.14656,0.76993,0.007624,0.007624,0.007624
26,15577.2,0.31873,0.39338,0.25809,0.84647,0.98376,0.7818,0.7957,0.78056,0.98644,0.78091,0.79564,0.7351,0.19846,0.32272,0.14493,0.76933,0.007525,0.007525,0.007525
27,16160.1,0.32253,0.39663,0.25913,0.84948,0.98833,0.78111,0.79567,0.7811,0.98944,0.78076,0.79579,0.73521,0.19698,0.32115,0.14365,0.769,0.007426,0.007426,0.007426
28,16740.7,0.31775,0.39231,0.25746,0.84648,0.98564,0.78151,0.79573,0.7816,0.98953,0.78064,0.79618,0.73505,0.19618,0.32076,0.14268,0.7686,0.007327,0.007327,0.007327
29,17305.8,0.31579,0.38595,0.25225,0.84718,0.98844,0.78093,0.79559,0.78154,0.98937,0.78053,0.79624,0.73617,0.19495,0.31884,0.14104,0.76822,0.007228,0.007228,0.007228
30,17862.4,0.31461,0.38694,0.25288,0.84738,0.99043,0.78059,0.79573,0.78148,0.99016,0.78047,0.79659,0.73603,0.19416,0.31845,0.14036,0.76795,0.007129,0.007129,0.007129
31,18418.9,0.31235,0.38206,0.24968,0.84576,0.99068,0.78072,0.79578,0.78167,0.99023,0.78055,0.79657,0.73625,0.19324,0.31621,0.13964,0.76776,0.00703,0.00703,0.00703
32,18975.6,0.3117,0.38591,0.24759,0.84578,0.99077,0.78064,0.79584,0.78159,0.99078,0.78051,0.79633,0.73599,0.19281,0.31549,0.13929,0.76781,0.006931,0.006931,0.006931
33,19529.8,0.30783,0.37377,0.24666,0.84476,0.98448,0.7818,0.79577,0.78171,0.9905,0.78047,0.79634,0.73617,0.19212,0.31512,0.13833,0.7675,0.006832,0.006832,0.006832
34,20085.9,0.3094,0.37658,0.2465,0.8451,0.98931,0.78082,0.79606,0.78182,0.98901,0.7807,0.79651,0.73626,0.19178,0.31396,0.13771,0.76733,0.006733,0.006733,0.006733
35,20643.3,0.30636,0.37293,0.24226,0.84253,0.98973,0.78088,0.79607,0.78159,0.98943,0.78076,0.79637,0.73599,0.1913,0.3133,0.13743,0.76704,0.006634,0.006634,0.006634
36,21198.9,0.30454,0.37735,0.24289,0.8425,0.98883,0.78111,0.79605,0.78158,0.98895,0.78093,0.7963,0.73587,0.19079,0.31277,0.13657,0.76689,0.006535,0.006535,0.006535
37,21755.1,0.30426,0.36526,0.24123,0.84248,0.98911,0.78113,0.79597,0.78142,0.98929,0.78099,0.79623,0.73619,0.19053,0.31182,0.1364,0.76681,0.006436,0.006436,0.006436
38,22310.2,0.30164,0.36542,0.23784,0.84233,0.98939,0.78117,0.79599,0.7816,0.98951,0.78105,0.79617,0.73635,0.19035,0.31098,0.13569,0.76684,0.006337,0.006337,0.006337
39,22866,0.3003,0.36147,0.23692,0.84386,0.9894,0.78122,0.79607,0.78188,0.98954,0.78111,0.79623,0.73646,0.19003,0.31072,0.13529,0.76671,0.006238,0.006238,0.006238
40,23424.1,0.29933,0.36578,0.23563,0.84202,0.98984,0.78122,0.79606,0.78192,0.98956,0.78111,0.7962,0.73621,0.18988,0.3099,0.13487,0.76665,0.006139,0.006139,0.006139
41,23983.5,0.29956,0.36901,0.23601,0.84203,0.99017,0.78122,0.79616,0.78216,0.99026,0.78105,0.79638,0.73612,0.18967,0.30936,0.13462,0.76655,0.00604,0.00604,0.00604
42,24539.3,0.29766,0.37274,0.23487,0.84174,0.99029,0.78122,0.79618,0.78238,0.9902,0.78105,0.79653,0.73614,0.18946,0.30933,0.13398,0.76646,0.005941,0.005941,0.005941
43,25095.1,0.29522,0.35786,0.23229,0.84033,0.99048,0.78122,0.79632,0.78237,0.99059,0.78105,0.79656,0.73603,0.18919,0.30852,0.13379,0.76633,0.005842,0.005842,0.005842
44,25650.6,0.29385,0.36409,0.23124,0.84122,0.99075,0.78122,0.79621,0.78241,0.99052,0.78105,0.79665,0.7361,0.18899,0.3084,0.13346,0.76628,0.005743,0.005743,0.005743
45,26207.4,0.29097,0.35681,0.22932,0.84001,0.99113,0.78119,0.79619,0.78246,0.99077,0.78099,0.79662,0.73657,0.18878,0.30782,0.13334,0.7662,0.005644,0.005644,0.005644
46,48393.6,0.29203,0.35073,0.22827,0.83959,0.99133,0.78118,0.79632,0.7825,0.99089,0.78099,0.79659,0.73673,0.18849,0.30729,0.13312,0.76605,0.005545,0.005545,0.005545
47,48976,0.29114,0.35315,0.22598,0.83897,0.9917,0.78117,0.79634,0.78271,0.99136,0.78097,0.79672,0.7368,0.18821,0.30676,0.13284,0.76594,0.005446,0.005446,0.005446
48,49556.7,0.28834,0.34469,0.22595,0.83943,0.99161,0.78117,0.79645,0.78269,0.9914,0.78097,0.79661,0.73696,0.18792,0.30655,0.13249,0.76589,0.005347,0.005347,0.005347
49,50113.7,0.28796,0.34827,0.22457,0.83751,0.99162,0.78111,0.79649,0.78285,0.99117,0.78093,0.79681,0.73714,0.18755,0.30598,0.13213,0.76573,0.005248,0.005248,0.005248
50,50670.3,0.2879,0.35388,0.22525,0.83878,0.99148,0.78134,0.79651,0.78304,0.99125,0.78105,0.79684,0.73749,0.18731,0.30533,0.13186,0.76563,0.005149,0.005149,0.005149
51,51226.7,0.28497,0.34638,0.22069,0.83622,0.99179,0.78134,0.79659,0.78317,0.99119,0.78111,0.79694,0.7376,0.18697,0.3048,0.13163,0.76552,0.00505,0.00505,0.00505
52,51782.6,0.28569,0.35123,0.22223,0.83799,0.99184,0.78134,0.79668,0.78344,0.99133,0.78106,0.79701,0.73773,0.18648,0.30417,0.13105,0.76539,0.004951,0.004951,0.004951
53,52338.8,0.28403,0.34215,0.21894,0.83771,0.99189,0.7814,0.79681,0.78347,0.9915,0.78113,0.79697,0.73793,0.18627,0.30372,0.13087,0.76534,0.004852,0.004852,0.004852
54,52895.6,0.28357,0.34854,0.22002,0.83752,0.98979,0.78174,0.79692,0.78361,0.991,0.78117,0.797,0.73815,0.18595,0.30282,0.13045,0.76522,0.004753,0.004753,0.004753
55,53467.1,0.28396,0.34707,0.21898,0.83769,0.99063,0.78178,0.797,0.78381,0.99092,0.78122,0.79707,0.73786,0.18568,0.30219,0.13034,0.765,0.004654,0.004654,0.004654
56,54050.8,0.28162,0.34029,0.21714,0.83692,0.99075,0.78182,0.79705,0.78384,0.99121,0.78139,0.7971,0.73809,0.18531,0.3016,0.12998,0.7649,0.004555,0.004555,0.004555
57,54638.6,0.27959,0.33808,0.21464,0.83712,0.9911,0.7818,0.79706,0.78371,0.99119,0.7814,0.7971,0.73803,0.18501,0.30093,0.12949,0.76473,0.004456,0.004456,0.004456
58,55227.5,0.2804,0.33806,0.21525,0.83667,0.99126,0.7818,0.79709,0.78369,0.99122,0.78145,0.79714,0.73828,0.18478,0.30036,0.12922,0.76459,0.004357,0.004357,0.004357
59,55819.1,0.2757,0.33757,0.21278,0.83491,0.99153,0.78182,0.79723,0.7838,0.99127,0.78145,0.79721,0.73831,0.18436,0.29963,0.12873,0.76451,0.004258,0.004258,0.004258
